铃奈（夏日）,水暴,水暴弓,瀑,夏日铃奈,,,,
伊绪（夏日）,水魅魔,水老师,泳装魅魔,泳装老师,夏日伊绪,,,
咲恋（夏日）,水充,水电,水电站,泳装充电宝,泳装咲恋,夏日咲恋,,
真琴（夏日）,水狼,浪,夏日真琴,,,,,
香织（夏日）,水狗,夏日香织,,,,,,
真步（夏日）,水真步,水狐狸,水狐,水壶,水噜灵波,夏日真步,,
碧（插班生）,生菜,插班生碧,,,,,,
克萝伊,华哥,花子,黑江,,,,,
琪爱儿,切噜,知惠,,,,,,
优妮,优尼,,,,,,,
镜华（万圣节）,万圣xcw,万圣唯,猫唯,猫仓,mcw,万圣节镜华,,
未奏希（万圣节）,万圣炸弹,万圣炸弹人,万圣未奏希,圣弹人,圣蛋人,万圣节禊,瓜炸,
美美（万圣节）,万圣兔,万圣兔兔,万圣兔子,万圣节美美,,,,
露娜,,,,,,,,
克里斯蒂娜（圣诞节）,圣诞克,圣诞克姐,圣诞克总,圣克,圣诞节克里斯蒂娜,蛋壳,,
望（圣诞节）,圣诞偶像,圣诞望,圣诞节望,,,,,
伊莉雅（圣诞节）,圣诞节伊利亚,圣诞伊莉雅,圣诞伊利亚,圣诞yly,圣伊,圣诞节伊莉雅,,
佩可莉姆（新年）,春吃,新年佩可,新年贪吃佩可,,,,,
可可萝（新年）,春白,春妈,新年可可萝,新春可可萝,,,,
凯露（新年）,春黑,新年黑猫,新年凯露,春鼬,新年凯留,,,
铃莓（新年）,春女仆,新年女仆,新年铃莓,,,,,
霞（魔法少女）,魔法侦探,魔法霞,魔法驴,魔驴,法驴,魔法少驴,魔法少女霞,
栞（魔法少女）,魔法弓,魔弓,法弓,魔法少女栞,,,,
岛村卯月（偶像大师）,岛村卯月,卯月,卵用,偶像大师岛村卯月,,,,
涉谷凛（偶像大师）,涉谷凛,凛,偶像大师涉谷凛,,,,,
本田未央（偶像大师）,本田未央,偶像大师本田未央,mio,,,,,
铃（游侠）,游侠松鼠,武松,钻头哥,,,,,
真阳（游侠）,游侠真阳,斗牛,,,,,,
佩可莉姆（公主）,命运吃货,公主吃货,高达,命运高达,公主佩可莉姆,,,
